w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z
-0.01615594,0.000155026,0.9998548,-0.005438391,0.6228284,181.8516,0.02783203,-0.04239124,0.007787914,0.9989055,0.01817947,357.8807,184.8452,0.8037181,0.2690809,-0.3276757,0.9055765,0.01248034,348.5247,150.729,323.2216,0.755276,0.009383962,0.4811655,0.4449159,335.5448,53.8652,48.4369,-0.3997581,0.2954776,0.8209333,-0.2809899,13.00928,237.572,46.7598,-0.9249316,0.1196652,0.3573143,0.05008879,13.00928,237.572,46.7598
-0.01615138,8.655118E-05,0.9998544,-0.005520461,0.6323588,181.851,0.02013515,-0.04205619,0.007914161,0.9989153,0.01836084,357.8596,184.8064,0.8180246,0.2691074,-0.3276968,0.9055583,0.01265188,348.5048,150.7317,323.2234,0.7553424,0.009326741,0.4811654,0.4448043,335.5462,53.86548,48.42059,-0.3995637,0.2954895,0.821054,-0.280901,13.01087,237.5431,46.75252,-0.9248733,0.1197761,0.3574337,0.05004844,13.01087,237.5431,46.75252
-0.01622279,4.720176E-05,0.9998532,-0.005534063,0.6339889,181.8592,0.01569688,-0.0417444,0.00802953,0.9989247,0.01851132,357.8421,184.7703,0.8311954,0.2691671,-0.3277207,0.9055306,0.01275373,348.4911,150.7284,323.2236,0.7554114,0.009312347,0.4811468,0.4447077,335.5518,53.86451,48.40834,-0.399253,0.2956227,0.8212063,-0.2807578,13.00661,237.4979,46.75317,-0.9247877,0.1199458,0.3575976,0.05005277,13.00661,237.4979,46.75317
-0.01630586,3.536622E-05,0.9998518,-0.005539525,0.6346355,181.8687,0.01440363,-0.0417434,0.008038582,0.9989246,0.01851061,357.8422,184.7701,0.832238,0.2692596,-0.3276742,0.90552,0.01275723,348.4886,150.7174,323.2302,0.7554622,0.00932695,0.481108,0.4446628,335.5582,53.86084,48.40423,-0.3990182,0.2957214,0.8213252,-0.2806394,13.00265,237.4631,46.75274,-0.9247271,0.1199574,0.3577532,0.05002844,13.00265,237.4631,46.75274
-0.01632899,1.184858E-05,0.9998516,-0.005503419,0.6305423,181.8713,0.01165605,-0.04181987,0.008044473,0.9989212,0.01853254,357.8396,184.7789,0.8326432,0.2693733,-0.3275836,0.9055201,0.01268353,348.4949,150.7009,323.2404,0.7555048,0.009313971,0.4810303,0.4446752,335.5606,53.84994,48.40701,-0.3989239,0.2957416,0.8213673,-0.2806291,13.00536,237.4514,46.75314,-0.9247087,0.1197967,0.3578652,0.04995476,13.00536,237.4514,46.75314
-0.01631041,-0.000116088,0.9998524,-0.005419629,0.6211811,181.8691,-0.003171399,-0.04180454,0.008030421,0.9989207,0.01859268,357.8328,184.7771,0.8307811,0.2694294,-0.3275763,0.905506,0.01267768,348.4936,150.6942,323.2417,0.755548,0.009239763,0.4809175,0.4447254,335.5569,53.83157,48.41278,-0.398742,0.2957657,0.8214655,-0.280575,13.00858,237.4265,46.74984,-0.9246799,0.1196677,0.3580122,0.049744,13.00858,237.4265,46.74984
-0.01630571,-0.000142559,0.999853,-0.005316558,0.609421,181.8686,359.9936,-0.04182678,0.008058155,0.9989183,0.01865852,357.8251,184.7796,0.8335971,0.2694314,-0.3277234,0.9054509,0.01277851,348.4783,150.6989,323.2266,0.7555814,0.009231828,0.4808605,0.4447303,335.559,53.82372,48.41438,-0.3985842,0.295837,0.8215311,-0.2805318,13.00872,237.4055,46.7527,-0.9246508,0.1197442,0.3580799,0.04961222,13.00872,237.4055,46.7527
-0.01623331,-0.000158841,0.9998547,-0.005200413,0.5961431,181.8603,359.9915,-0.04177652,0.00806687,0.9989198,0.01868669,357.8218,184.7737,0.8345713,0.2694314,-0.3277233,0.9054509,0.01277852,348.4783,150.6989,323.2266,0.7555975,0.009218983,0.4808115,0.4447562,335.559,53.81634,48.4182,-0.398541,0.2958249,0.8215497,-0.2805513,13.01329,237.4015,46.75233,-0.9246496,0.1197366,0.3581057,0.04946593,13.01329,237.4015,46.75233
-0.0160643,-0.000212085,0.9998575,-0.005199893,0.5961801,181.8409,359.9853,-0.04163347,0.008089975,0.9989253,0.01869838,357.8205,184.7573,0.837475,0.2694052,-0.3277042,0.9054652,0.01280195,348.4774,150.7024,323.2292,0.7556346,0.009193309,0.4807566,0.4447529,335.5599,53.80832,48.41799,-0.398588,0.2957447,0.8215328,-0.2806188,13.02137,237.4108,46.74901,-0.9247277,0.1194481,0.3580204,0.04932337,13.02137,237.4108,46.74901
-0.01592165,-0.000281683,0.9998598,-0.005213046,0.597812,181.8245,359.9772,-0.04149286,0.008096453,0.9989302,0.01875298,357.8143,184.7411,0.8382666,0.2694122,-0.3277161,0.9054588,0.01280098,348.4769,150.7017,323.2278,0.7556578,0.00908538,0.4807101,0.4447661,335.5515,53.79824,48.41622,-0.3987156,0.29561,0.8215065,-0.2806564,13.02601,237.4273,46.73855,-0.9248341,0.1191282,0.3578647,0.04923168,13.02601,237.4273,46.73855
